,u,v,weight
0,0,1,25
1,0,3,20
2,1,3,9
3,1,2,10
4,2,3,10
5,2,11,15
6,2,14,15
7,2,16,18
8,3,16,17
9,3,11,7
10,11,4,7
11,11,12,5
12,11,14,6
13,4,5,5
14,4,8,12
15,4,7,5
16,5,7,15
17,5,6,12
18,5,9,10
19,5,8,5
20,14,7,10
21,14,12,6
22,14,16,6
23,16,12,14
24,16,13,18
25,16,15,15
26,16,17,16
27,17,15,4
28,17,10,25
29,12,13,5
30,12,15,6
31,12,8,10
32,12,7,10
33,8,6,17
34,8,9,7
35,8,10,8
36,8,13,10
37,13,9,8
38,13,10,10
39,13,15,9
40,15,10,21
41,15,17,4
