D_pres_2016,D_senate_2016,R_pres_2016,R_senate_2016,D_gov_2018,D_AG_2018,R_gov_2018,R_AG_2018,D_pres_2008,R_pres_2008,D_pres_2012,R_pres_2012
118.97637991013069,113.83398440097835,1228.7407126692117,1138.6561015107957,98.3360160761389,120.57100580233535,1220.9733120174083,1162.3486245796216,198.95615595651657,1148.7609366228257,178.91093599665334,1168.806156582689
735.8465112148932,585.4158043372021,826.7263852884461,810.1745980259925,746.4047004035963,705.9573967352793,776.0818010272907,751.3122697948611,828.5768260610946,733.9960704422447,805.335956307203,757.2369401961363
142.7222999684078,112.22454149819009,618.8256574191719,585.1351493219006,111.53270663348218,115.9833228408176,456.4810144027508,428.7244652913776,187.91608389814266,573.631873489437,176.5892287295978,584.9587286579819
210.3337816534771,171.9927168020352,970.6513860915184,922.8884451149269,198.12386092842127,205.24334653869562,1143.9343776716119,1096.2756165341734,280.4189128359976,900.566254908998,262.8535739476428,918.1315937973528
226.03903282881697,203.46076287419126,1848.4452800425227,1712.578803834241,203.6026993895389,236.24491032556222,1830.5293560877176,1739.3388886658838,349.1485427317068,1725.3357701396328,318.2937776005421,1756.1905352707975
249.12707949894147,218.9247579245506,508.64033698643823,461.9644648217051,236.63684546666303,238.3950153294525,505.7681186726486,479.849271633036,290.9012477628613,466.8661687225184,289.7344453402305,468.03297114514925
415.185427189691,340.1042308960453,975.6221169885736,878.0277560276104,371.2779248590194,369.2072116938571,960.4140012399847,906.0925469217622,491.8578033162685,898.9497408619961,489.7162522589702,901.0912919192943
32.687480381817565,36.97099934831044,393.7374624520155,338.0077055683672,29.085218412091763,35.39776038406425,409.81779640141633,383.05810246369697,56.1954155692322,370.2295272646009,55.53881085709448,370.8861319767386
191.1700603073425,146.93375987250906,1311.1893284714565,1207.1928135445032,249.10393154616185,262.34872136252216,1691.7671915435653,1622.486752504142,275.44333820739007,1226.916050571409,267.1662966788888,1235.1930920999102
103.39513113660801,85.79833336684393,770.6175650637507,683.9215327305053,110.63621881018582,116.5187171518317,751.3760381771516,720.6060468516193,152.4219587952912,721.5907374050676,147.60670657473685,726.4059896256218
313.4340357486407,241.2673306607952,1282.1905835793714,1154.8833731118507,129.25964804626824,136.1323491693827,877.8554011485825,841.9058875815222,402.93892916704635,1192.6856901609658,394.1480557337512,1201.476563594261
412.2928169826871,341.8105994899816,449.93223504891614,444.7556968365879,339.77580805520654,335.30477763687384,454.44587837215795,425.7983098285335,454.74532085129204,407.4797311803112,452.56696178162275,409.6580902499805
237.70715810005797,189.18938147141637,325.06772459807337,318.2442635476625,195.22417258507045,199.69520236716284,298.55408405938266,274.2016562852155,265.4159364852405,297.3589462128909,263.9941200267428,298.7807626713886
1069.263592196748,920.316362692263,1378.1628083503615,1375.308043882455,1063.4408598105535,1042.2163557871634,1437.6280200382091,1423.9354154179948,1104.9042166769914,1342.5221838701182,1116.0004948711742,1331.4259056759354
1237.3347192940514,1043.4159254012293,1752.1286368522383,1771.3854336671227,1202.8859040950442,1191.0571137808136,1802.0223599445972,1761.3917491650034,1280.8687519620162,1708.5946041842735,1294.422547509739,1695.0408086365508
1001.7856631949901,843.2137932441709,1654.5460851311764,1663.3867054776247,1047.1468282901699,1030.0880903376801,1761.0754247384118,1742.8865390530702,1040.468469883631,1615.8632784425351,1052.5118947845306,1603.8198535416357
812.8198749463918,694.7737489307378,349.22338268032104,385.44617270060934,819.036424397206,781.3785674392212,275.592800111843,292.737248545628,829.7421192131097,332.3011384136032,835.0106556877583,327.0326019389545
901.6309487775764,767.9267116953772,620.3396807408456,661.1743420873854,877.5286760182734,845.659603375504,642.2870238194155,638.3133177056967,923.7946320918118,598.17599742661,930.695027341588,591.2756021768339
560.8876846229753,471.7982505403482,167.7498916903167,188.97682443368893,527.5822869976953,491.80475090263036,151.41933230860522,159.46834855088684,571.4984626360633,157.13911367722858,574.8020002818532,153.83557603143868
401.3926062848698,345.0125325045409,116.17987278248165,129.02041897963994,361.6059316086224,332.28964197428917,98.34567406516683,109.15760021017752,408.929750757784,108.6427283095674,411.27634970437555,106.29612936297583
428.6068242968435,364.8169151718228,145.86487738996465,157.33187401918389,389.80291115518264,353.71403480401955,119.04455630254294,134.11897286156096,436.97256317657815,137.49913851023007,439.57713498931065,134.8945666974975
1552.2472580077927,1332.3451862057464,1508.8068150920728,1459.970785719158,1499.937572372975,1455.9522301258694,1443.9309743686358,1408.312274207984,1596.8238298338888,1464.230243265977,1610.7022073634273,1450.3518657364382
219.66267331695065,211.05063291179727,1682.0152809376164,1557.9059345191022,212.28274406438533,230.40350355992229,1692.4365310328526,1650.149991797407,346.60800316384274,1555.069951090724,270.7058026349188,1630.972151619648
184.4888970461484,184.06245783357576,1756.2692543703051,1630.6597568420148,154.3308208435493,191.36661676197662,1759.2982954977026,1701.5983285419757,314.04300116425634,1626.7151502521972,236.58098186840866,1704.177169548045
149.59751958640442,136.01386078820912,1523.7508542115013,1433.6947497224032,148.32652185695588,163.40865220440122,1519.229461472154,1474.6063804767734,261.30085020833576,1412.04752358957,194.5120316606948,1478.8363421372107
129.97913734244835,141.58637305616884,1169.7777148838197,1080.730704844589,129.7926877890816,152.50601345712937,1176.82827671354,1138.514337058287,216.743598147958,1083.0132540783102,164.8660417952619,1134.8908104310062
446.104964632442,383.1262500589777,1889.1105291414335,1811.9548200776208,429.4561394433995,452.62766409977695,1817.7131250504926,1787.890007549418,531.4949016904652,1803.7205920834103,459.97272288480747,1875.242770889068
