GEOID,x,y,area,population,p_public_transportation_commute,p_walk_commute,mean_commute_time,p_bachelors_degree_or_higher,unemployment_rate,p_GRAPI<15%,p_GRAPI>35%,p_without_health_insurance,p_nonfamily_household,p_vacant_housing_units,p_renter_occupied,median_household_income,p_SNAP_benefits,p_below_poverty_line,p_white,p_age_students,median_age,p_mobile_homes,p_without_person_vehicle,p_veterans,2000,2004,2008,2012,2016
13009970702,764375.6375488411,-827402.7558880263,7.5240266585533435,2341,11.3,0.0,11.8,12.6,14.7,18.1,51.4,28.3,35.9,25.2,61.9,27740,27.5,32.4,34.5,23.1,36.9,22.6,16.9,11.3,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970800,756997.0029349787,-833171.2205882686,198.77470187410697,7117,0.0,0.6,22.6,13.1,3.3,33.3,45.3,12.1,37.3,18.3,24.9,38750,16.7,23.0,57.5,22.9,40.0,41.4,6.5,9.9,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13011970100,731367.5058760279,-674608.8776433358,165.58749211169206,5453,0.0,0.9,30.1,13.7,5.9,30.2,30.5,12.9,26.2,11.5,21.0,45675,12.1,13.5,95.9,18.8,38.4,25.1,5.1,10.0,0.7241067390321121,0.7933081489476524,0.8329266308768505,0.8728399087055755,0.8996773247286595
13011970200,734023.3858651422,-683318.3674862576,194.19173469234127,4730,0.0,2.2,28.1,12.8,2.3,12.0,50.8,19.8,24.7,19.8,22.4,43750,14.1,13.7,91.9,21.5,43.8,34.3,6.5,8.7,0.7241067390321121,0.7933081489476524,0.8329266308768505,0.8728399087055755,0.8996773247286595
13011970300,724703.0768698816,-688000.6575551608,119.79668177805459,4651,0.0,0.6,30.8,13.5,4.8,8.6,47.3,13.3,24.2,10.2,27.4,48304,13.5,10.3,90.0,16.3,43.1,22.2,5.4,6.5,0.7241067390321121,0.7933081489476524,0.8329266308768505,0.8728399087055755,0.8996773247286595
13011970400,741214.9294842677,-693259.911126915,126.53340707030146,3676,0.0,2.4,30.4,10.8,9.5,44.1,31.0,17.9,24.5,14.4,27.6,46875,12.2,16.8,93.8,6.4,36.1,41.1,2.9,11.6,0.7241067390321121,0.7933081489476524,0.8329266308768505,0.8728399087055755,0.8996773247286595
13013180103,705333.0709281426,-715394.1622687653,30.793559597085597,5395,0.0,0.0,36.1,33.7,3.7,8.9,60.1,9.9,17.1,11.7,18.7,83450,7.7,9.7,84.6,11.1,39.1,7.4,3.2,7.6,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180104,702680.66232542,-723946.5731653518,8.230375314190725,1906,0.0,0.0,36.1,11.8,3.2,0.0,55.3,19.5,22.0,12.4,21.7,51016,16.6,17.8,74.7,11.4,35.1,5.7,1.6,6.5,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180105,704892.8224552079,-719268.445021371,16.39211302417554,2785,0.5,0.3,34.7,21.5,3.7,0.0,31.4,18.3,16.6,6.6,7.3,78125,8.7,9.9,82.3,20.2,37.8,4.4,2.8,9.2,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180106,702277.4160146164,-721478.8877707707,12.46297935123799,2689,0.9,0.0,35.3,18.1,5.5,12.5,33.1,14.8,24.1,7.3,30.1,53207,14.4,10.5,82.9,20.0,35.9,11.5,3.2,4.8,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180107,707562.0050495132,-722806.8995177366,19.370832643369962,4061,0.0,0.0,36.9,12.9,6.2,29.4,33.9,24.1,24.7,9.3,30.3,53994,10.2,6.6,83.5,24.1,36.7,21.7,4.9,7.2,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180108,705425.2664333956,-726261.782083902,20.553901923464274,2889,0.8,0.0,32.8,15.4,14.2,11.2,27.0,19.0,24.4,12.7,20.7,54063,10.4,14.8,84.8,31.9,31.8,9.2,2.4,6.9,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180203,715751.2825089664,-725510.3693501475,5.67525815659619,3519,0.0,0.6,25.3,9.0,9.0,15.0,49.1,23.0,30.5,13.3,51.9,31395,29.6,30.7,61.6,13.7,31.1,14.5,9.2,5.7,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180204,713991.6227670495,-727231.4799159378,16.101784819573243,2933,0.3,5.4,30.1,10.2,7.6,5.5,47.9,25.2,31.0,14.5,60.3,41500,25.4,17.7,53.3,19.0,35.9,0.3,16.0,7.7,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180205,711498.2697631783,-724859.2952637946,11.041227631460064,4404,0.4,1.1,31.0,15.1,4.7,9.2,39.1,15.7,33.8,8.8,54.1,42878,27.5,17.4,67.0,16.6,35.2,0.9,10.1,6.1,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180206,713657.3911288634,-722029.9618006655,7.0426494462560445,2905,0.0,0.5,32.5,18.8,2.8,18.8,28.9,20.5,35.2,17.4,46.6,62986,22.0,16.2,89.9,15.0,37.2,0.0,6.2,10.1,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180301,718872.9431987068,-724875.9036064368,21.657901970466682,2332,1.4,0.0,31.6,20.4,4.9,10.9,36.7,12.9,23.0,6.6,18.5,63750,11.1,5.1,89.6,14.5,35.4,8.9,0.0,9.6,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180302,717137.7368996155,-720524.4626046754,30.41922819249843,5905,0.0,0.0,33.7,20.6,1.6,3.8,13.7,6.7,27.6,7.0,23.1,56794,7.5,12.1,89.0,27.3,40.3,2.0,2.7,8.9,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180303,710871.3142067776,-719507.9322570949,28.7850732178866,5845,0.0,0.6,39.2,15.3,6.3,10.0,35.2,18.2,17.5,5.6,27.4,63017,17.4,13.3,89.2,12.4,33.2,8.5,1.2,7.1,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180401,723193.7170944407,-724457.1443526176,56.44098782037039,5937,0.4,0.0,35.9,25.5,6.8,14.3,36.2,10.8,17.8,5.9,16.4,60094,7.5,9.3,85.3,10.4,34.4,7.2,1.1,8.6,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180402,726805.4809502558,-725555.1281856628,41.393333753061164,6689,0.0,0.7,34.1,11.2,5.0,35.5,30.8,17.2,23.3,8.8,31.0,52440,17.3,11.0,67.9,22.9,38.3,9.9,1.9,5.6,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180501,708480.1444676681,-729315.5866018187,26.923349237694445,6310,0.0,0.4,36.8,16.7,3.7,16.4,27.6,10.2,23.4,4.6,22.5,63872,10.0,9.1,80.0,13.9,32.6,6.8,0.3,5.8,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180502,717620.8167753966,-731139.8732261946,46.02386415139074,4712,1.2,0.0,31.4,15.9,5.2,12.3,47.7,12.6,22.7,8.8,20.4,60977,9.4,8.4,82.1,19.8,36.3,9.3,0.6,5.8,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13013180503,711470.2513478325,-732530.5453634021,23.213412765221193,5671,0.0,0.9,32.5,17.5,2.6,19.9,31.3,8.9,23.2,13.1,10.0,70833,11.5,9.1,78.4,22.2,34.2,13.2,1.0,7.7,0.6842514246244171,0.7675276752767528,0.7258463059056091,0.7564739627519896,0.7623519214099971
13015960101,619820.9479914668,-684221.16064181,93.63172461183932,1379,0.0,0.0,41.6,24.7,5.7,11.0,28.6,7.9,27.5,13.9,21.4,72841,5.0,8.7,91.4,21.9,53.1,20.3,1.0,16.0,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960102,618387.430589796,-693584.3550570037,221.01009002284448,9810,1.1,0.0,28.6,20.0,6.6,17.9,44.7,11.1,23.1,4.7,18.0,67279,11.4,8.9,94.6,17.0,41.8,13.1,2.7,8.9,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960200,602117.6286514906,-688155.0178432735,177.07743079139306,11388,1.6,1.1,30.6,13.5,3.9,10.8,30.3,16.7,30.5,8.8,37.0,46799,13.3,10.8,90.5,14.5,37.4,16.5,4.7,5.1,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960300,600131.1222990273,-698598.3591346613,160.0562493648274,6393,1.5,0.0,31.5,10.2,3.9,20.1,23.1,12.0,15.3,13.7,19.1,63701,10.8,10.1,92.3,15.6,42.0,11.0,3.6,10.1,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960401,611368.5841077141,-702074.7189304709,17.796727225343435,10034,0.0,0.5,23.0,13.8,3.1,15.4,20.5,16.6,31.6,10.8,58.0,50802,13.1,8.3,73.3,21.6,32.6,5.7,4.6,9.0,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960402,614072.3635148909,-700053.6110018222,52.02113123817935,8748,0.4,3.2,23.8,18.8,5.2,12.7,45.9,12.8,32.8,5.5,34.0,57760,8.9,9.1,82.0,17.1,41.2,2.9,4.0,9.3,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960500,609271.8237602896,-704230.5913960271,24.264716484222102,8280,1.5,0.0,26.3,17.3,8.5,6.0,55.0,13.8,16.7,8.0,41.3,57266,23.6,24.0,75.5,19.9,36.7,6.0,7.1,7.1,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960600,612305.3745145898,-709764.0584539563,25.07821863278614,9005,0.8,0.0,26.5,30.8,4.8,16.7,33.4,13.2,31.9,7.6,37.8,54334,14.7,16.0,78.2,13.3,36.9,1.3,3.3,6.3,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960700,620925.1274834569,-705723.0399690284,73.26481393638778,8092,1.0,1.4,24.8,20.4,6.2,16.0,46.7,21.7,41.2,9.8,62.0,42075,15.6,20.5,65.2,9.7,34.1,4.8,4.8,8.8,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960801,624510.5994682701,-711981.4418027498,24.18484255461981,3503,1.9,0.0,34.8,29.2,11.7,4.8,37.4,15.6,26.5,6.6,28.9,50449,13.2,14.8,86.3,16.7,41.8,25.9,6.4,7.7,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960802,622994.3608931713,-713561.2167519224,18.156076882609227,3297,0.1,5.2,29.6,8.8,4.7,19.0,24.3,23.1,36.1,6.1,43.2,34838,25.4,27.2,88.5,2.9,33.0,64.6,3.6,7.5,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960803,616621.3341984821,-713655.216318661,82.8210166815602,5598,1.9,0.8,28.3,21.9,7.6,11.6,44.6,19.2,24.2,8.3,30.0,52889,14.1,15.1,88.9,12.0,40.9,22.3,2.0,7.0,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960901,607221.9192220932,-713172.3921302593,34.24853792732828,3128,0.0,0.0,27.9,18.4,5.0,41.9,21.7,9.6,26.0,5.6,20.8,60833,14.2,13.5,92.8,10.2,33.0,19.3,5.2,6.6,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015960902,606507.4677921392,-707828.6401336943,36.76262055944124,6822,0.0,0.0,32.1,31.6,9.3,11.7,23.1,10.7,18.4,1.8,14.7,67132,10.8,10.1,89.9,25.4,40.0,3.2,1.2,9.9,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13015961000,597113.6566047729,-710851.7419862978,180.40156068886867,8143,0.0,0.4,35.5,18.3,2.2,12.6,13.7,15.2,19.9,12.2,13.1,67578,6.7,8.5,88.7,11.8,40.4,15.3,6.5,8.3,0.6622278207666007,0.7424131505390656,0.7288848981424323,0.7619641642095714,0.7845919785955985
13017960100,778435.8025821209,-971691.0803686221,302.17971314377155,2618,0.0,2.2,22.5,10.4,4.3,33.0,35.2,20.8,33.4,10.0,22.3,43333,12.5,21.2,85.0,9.0,38.9,41.5,4.6,9.3,0.5159263271939328,0.6044275086191253,0.56883635758282,0.5748138117806365,0.6402397260273973
13017960200,757193.9730714606,-966189.2872524147,236.57093411806994,1462,0.0,0.0,18.0,9.6,4.0,40.5,59.5,23.6,31.3,23.1,10.4,50319,10.1,18.9,79.5,12.0,41.6,36.7,12.6,5.5,0.5159263271939328,0.6044275086191253,0.56883635758282,0.5748138117806365,0.6402397260273973
13017960300,761559.0179380154,-975364.8428840197,29.452730790677208,3239,0.0,0.0,13.7,6.5,7.7,12.2,35.0,22.9,46.0,21.2,63.0,35870,20.8,25.4,56.9,13.6,35.7,24.8,20.7,8.0,0.5159263271939328,0.6044275086191253,0.56883635758282,0.5748138117806365,0.6402397260273973
13017960400,767486.1559810628,-974611.0221537972,11.812464154037633,4289,0.0,2.9,14.8,2.5,7.4,18.2,36.8,18.5,24.4,12.5,49.7,25844,30.6,44.7,40.3,4.3,28.5,27.5,17.8,4.5,0.5159263271939328,0.6044275086191253,0.56883635758282,0.5748138117806365,0.6402397260273973
13017960500,768438.2663939508,-978968.9721985866,78.89385164730338,5546,0.0,0.0,17.3,22.2,0.0,14.9,48.9,9.2,32.3,20.6,37.1,35250,13.6,33.6,61.5,18.0,48.0,8.3,17.8,5.5,0.5159263271939328,0.6044275086191253,0.56883635758282,0.5748138117806365,0.6402397260273973
13019970100,772440.5623017768,-1011564.1648389183,246.22654664748154,1893,0.0,0.4,26.4,8.8,5.0,10.7,23.1,25.3,32.9,16.1,23.9,40323,15.4,23.2,65.7,13.5,39.5,33.3,8.3,6.1,0.6236805874254245,0.7051305130513051,0.7691462649089768,0.7918574231523872,0.8381511825629927
13019970200,758192.858201728,-1014957.7047089017,248.5385063278934,4065,0.0,0.9,25.6,10.0,3.8,19.7,28.6,26.8,24.4,16.8,33.8,38933,18.0,22.9,90.7,6.3,35.1,56.2,5.7,5.6,0.6236805874254245,0.7051305130513051,0.7691462649089768,0.7918574231523872,0.8381511825629927
13019970300,764258.3353354409,-1028116.4181997598,152.20970874906817,2688,0.0,1.0,19.8,13.8,15.1,14.8,38.6,19.6,35.3,12.9,41.3,39697,21.1,14.0,91.8,22.4,42.3,16.2,12.0,10.7,0.6236805874254245,0.7051305130513051,0.7691462649089768,0.7918574231523872,0.8381511825629927
13019970400,778736.3511916823,-1026360.2088940626,269.2909955493101,3429,0.0,2.2,19.9,7.6,12.5,4.0,50.4,30.7,33.6,15.1,35.2,27162,34.4,38.3,74.7,15.8,42.1,30.5,13.2,3.4,0.6236805874254245,0.7051305130513051,0.7691462649089768,0.7918574231523872,0.8381511825629927
13019970500,774085.115901455,-1036614.173749188,143.69967988285322,3478,0.0,2.0,26.9,14.0,8.8,22.9,41.5,9.3,33.0,15.1,25.4,42553,19.9,21.9,90.8,8.6,45.3,25.9,12.9,9.1,0.6236805874254245,0.7051305130513051,0.7691462649089768,0.7918574231523872,0.8381511825629927
13019970600,769877.7400869732,-1046040.1677110611,128.67770093404718,3472,1.2,0.0,27.2,16.0,8.0,7.3,31.5,18.3,33.7,21.6,37.2,31621,20.0,33.4,85.0,13.6,34.1,37.6,7.7,9.5,0.6236805874254245,0.7051305130513051,0.7691462649089768,0.7918574231523872,0.8381511825629927
13021010100,724507.6996862806,-851612.8454832443,1.3719905829972432,1398,1.4,3.8,21.9,14.2,15.3,4.4,50.8,13.2,59.1,35.2,67.8,21902,39.5,47.4,3.4,12.0,45.3,0.0,34.2,9.4,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021010200,723485.8165508067,-851850.4466131849,1.5770637375844099,2024,5.1,3.7,14.2,40.7,7.7,7.0,46.9,6.9,55.0,23.7,61.1,35373,18.3,16.4,63.8,14.3,39.5,0.0,7.5,9.1,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021010300,723505.4272161082,-852726.4545634516,1.345285386474772,1048,0.0,2.7,23.1,20.7,15.5,0.0,48.9,21.7,30.9,41.2,38.0,26466,26.5,41.0,9.1,27.1,37.8,4.4,8.6,3.9,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021010400,722798.5598491865,-853947.2920779886,2.1821954961249346,1855,8.1,2.4,21.1,4.8,18.9,4.6,59.4,25.0,50.0,43.3,64.7,22500,37.3,56.2,3.2,13.1,43.1,2.1,36.7,8.3,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021010500,724103.5319335148,-853915.8069278222,1.3586737142149674,3052,2.3,48.1,9.3,11.3,11.1,4.8,58.0,9.5,50.8,30.2,85.7,11058,66.0,77.9,44.6,92.2,20.1,2.9,51.4,0.8,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021010800,725405.0573505684,-851829.1252639819,1.6924360631098758,1308,0.0,6.8,15.4,49.5,4.4,19.9,40.2,8.7,77.0,23.7,80.0,31827,8.2,21.9,74.2,80.8,32.1,0.0,11.5,7.7,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011000,725842.5961494349,-848681.8681077589,14.248818251783273,4342,1.5,0.0,22.9,36.5,3.4,4.5,60.8,21.9,58.3,24.1,62.7,25898,17.9,29.0,33.4,25.6,40.8,0.0,13.5,8.3,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011100,728247.6312438169,-850071.6501180778,3.8446108683580564,1905,8.8,8.3,25.6,5.2,25.5,2.6,61.9,27.0,50.3,34.4,65.6,12747,44.1,63.0,4.8,15.1,40.4,0.0,42.0,6.5,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011500,724831.9416693762,-854682.7947202346,1.089992317269657,1136,4.6,4.6,21.4,2.0,26.0,5.5,40.0,23.2,46.6,32.2,73.3,15000,54.8,55.9,1.7,2.1,39.1,0.7,29.8,8.6,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011701,729042.1898326363,-848507.9238554988,4.2319324310749025,2551,0.0,1.7,20.2,11.0,6.3,15.4,40.2,11.4,30.7,18.6,55.6,32313,23.9,32.8,15.1,21.1,30.8,2.2,5.3,5.3,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011702,731322.6420057022,-850025.660614115,9.042535003399117,4374,1.1,0.1,22.5,7.9,7.1,4.8,59.5,15.4,38.5,16.8,43.9,32955,25.9,24.8,4.1,11.5,37.3,0.0,11.8,11.5,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011800,721612.1489564938,-850226.4392975696,4.545054586585786,3463,0.0,2.0,17.6,54.2,2.3,21.5,55.3,6.6,44.7,16.4,46.4,58750,2.3,12.1,70.0,21.5,36.4,1.4,9.2,5.6,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021011900,723855.5538859488,-850266.4138974686,3.549794012089984,1758,0.0,0.0,16.2,33.5,9.3,3.7,50.5,12.7,60.7,16.9,53.1,30380,18.0,24.7,63.2,31.5,43.8,1.0,7.3,4.0,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021012000,722239.7231609222,-847865.0382991338,8.767886159841645,4468,0.0,0.0,17.0,33.6,2.6,8.0,21.2,11.5,40.4,8.6,16.7,61667,2.9,5.4,72.6,30.6,42.9,1.0,0.4,15.0,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
13021012101,718356.1994729167,-849506.3154665029,4.691826003915793,2576,1.0,14.5,21.1,44.5,2.4,2.7,49.5,11.6,33.3,9.8,35.6,52650,13.3,25.4,57.9,47.6,31.9,3.5,7.7,4.7,0.4905741129476022,0.4894217207334274,0.4095026051132922,0.39906242212808374,0.39524905474272565
