colummn
0
1065
676
5436
9861
8884
12082
14100
10800
3820
3759
3413
2076
7574
118084
13813
15471
24129
18497
24378
23820
21368
17661
14540
15824
9618
6672
4417
3172
744
11734
28288
24549
22961
25364
36744
37718
31601
27919
25273
25865
26246
26662
26176
27298
25920
25542
26569
30365
40921
45106
60530
62239
60893
45425
39318
35806
33492
34354
32263
30251
30016
36107
36087
37173
46259
49528
50440
47772
53879
53754
53905
57828
59592
62757
72380
68537
65272
65173
67088
62925
57767
54712
57459
60731
61748
60776
59621
61166
68483
68714
72396
65269
63405
67711
69451
71879
76035
85410
85769
84086
80571
76835
74556
78580
78165
80519
71456
70666
82022
100425
85965
85665
89906
88361
89653
90217
92564
93846
97725
97338
96970
87665
86475
92133
90979
87561
104861
110547
111893
101767
100128
97987
95992
95648
102157
111804
113521
113603
106972
108728
105936
104751
108922
113008
113687
0
