colummn
0
3759
3820
8884
9861
5436
9618
15824
14540
17661
21368
25364
22961
24549
28288
36744
37718
37173
36107
36087
31601
27919
25273
25865
26246
26662
30016
30251
32263
34354
33492
35806
39318
46259
49528
50440
47772
53879
53754
53905
57828
59592
62757
65173
65272
68537
72380
11734
104861
110547
111893
744
4417
6672
3172
111804
113521
676
1065
113603
106972
108728
105936
97725
97338
96970
95648
95992
97987
102157
101767
100128
92133
90979
87561
85410
67088
62925
57767
54712
57459
60731
61748
60776
59621
61166
65269
63405
67711
69451
71879
76035
76835
80571
84086
85769
86475
87665
93846
92564
90217
89653
88361
89906
85965
85665
80519
78165
78580
74556
72396
68714
71456
82022
70666
68483
62239
60893
60530
45106
45425
40921
30365
24129
26569
25542
25920
27298
26176
24378
23820
18497
14100
12082
10800
13813
15471
118084
7574
100425
104751
108922
113008
113687
2076
3413
0
