colummn
0
676
744
1065
2076
3172
3413
3759
3820
4417
5436
6672
7574
118084
8884
9618
9861
10800
11734
12082
13813
14100
14540
15471
15824
17661
18497
21368
22961
23820
24129
24378
24549
25273
25364
25542
25865
25920
26176
26246
26569
26662
27298
27919
28288
30016
30251
30365
31601
32263
33492
34354
35806
36087
36107
36744
37173
37718
39318
40921
45106
45425
46259
47772
49528
50440
53754
53879
53905
54712
57459
57767
57828
59592
59621
60530
60731
60776
60893
61166
61748
62239
62757
62925
63405
65173
65269
65272
67088
67711
68483
68537
68714
69451
70666
71456
71879
72380
72396
74556
76035
76835
78165
78580
80519
80571
82022
84086
85410
85665
85769
85965
86475
87561
87665
88361
89653
89906
90217
90979
92133
92564
93846
95648
95992
96970
97338
97725
97987
100128
100425
101767
102157
104751
104861
105936
106972
108728
108922
110547
111804
111893
113008
113521
113603
113687
0
