start,end,street_name,delay8pm,delay5pm
42445950,596775946,East59thStreet,36.79700066292633,63.37646023604467
42811333,42811336,27thAvenue,9.845895483870969,10.703888695652173
42811333,42811330,27thAvenue,10.547779047619048,16.756384999999998
42811330,42811333,27thAvenue,10.260058461538462,9.621185238095238
42445947,596775941,East58thStreet,37.50200924519647,61.27977753328018
42811330,42811327,27thAvenue,10.527441,13.521515
42467266,42467262,LenoxRoad,16.294968,17.98495
42517249,42490587,ArlingtonAvenue,13.257035625,14.944639999999996
42811327,42811330,27thAvenue,9.34319903225806,10.27468166666667
42467262,42467266,LenoxRoad,16.585596666666667,21.76422857142857
42467262,42467259,LenoxRoad,15.463848888888887,14.135966666666667
42911253,42859276,PenelopeAvenue,13.110098571428571,12.586464705882355
42467259,42467262,LenoxRoad,10.955151,18.300733333333334
42467259,42467258,LenoxRoad,17.96056090909091,18.090255
42860017,42874650,DitmarsBoulevard,18.779404726368153,18.90201964809384
42467258,42467259,LenoxRoad,12.52208375,15.0254
42911248,42859276,PenelopeAvenue,8.745725862068966,14.544213888888887
42445936,596775919,East54thStreet,44.01366192539363,66.24054170976083
42807818,42919829,NorthernBoulevard,8.443863581754576,9.894822509276649
42807815,42919826,NewtownRoad,11.975382564102569,17.549940137931035
42811352,42810174,27thAvenue,11.533772285714281,16.885478125
103137207,103137205,RiverRoad,4.396924791666668,5.2311095555555545
103238513,103142417,GrandAvenue,5.426115,3.7286
42445930,596775914,East52ndStreet,52.97198181091879,68.38968814152413
103137205,103137207,RiverRoad,4.520605714285715,5.211355333333334
103137205,103137202,RiverRoad,5.24682,5.074574090909094
2757013603,42899705,MyrtleAvenue,7.732415,7.085027499999999
103137202,103137205,RiverRoad,5.6692728571428574,6.516033870967742
103137202,103137196,RiverRoad,6.852655000000002,8.152747111111115
42445928,596775870,East50thStreet,51.91107179564694,68.18095792190682
42466853,42479405,NassauAvenue,12.899585377358491,11.818999411764706
42466853,42479403,NassauAvenue,9.739053312693498,8.64614765957447
42811345,42810174,27thAvenue,7.343378461538462,7.060720882352942
42445926,596775882,East48thStreet,49.78867304079967,62.85649251663971
42909611,42909599,81stStreet,9.93008,14.6542
42516016,597748771,VanSinderenAvenue,27.13842166666667,46.21976
374472690,374470398,HenryHudsonParkway,7.196762599580718,9.197222862903233
103137196,103137202,RiverRoad,7.0454300000000005,8.09772935483871
103137196,103137193,RiverRoad,2.9727497826086955,2.655834883720931
42466431,42492312,WilloughbyAvenue,55.567512483745105,63.46905757575759
103874371,103877677,ShippenStreet,26.403060000000004,26.316525
103137193,103137196,RiverRoad,2.9485214285714285,3.86854303030303
276065579,42909624,81stStreet,30.490745063498565,37.25882900939368
42516387,42516389,SchenectadyAvenue,15.454216378378385,17.027247999999993
42720018,2024828308,BedfordParkBoulevard,14.436186249999999,13.8617
598227835,42516555,HenryStreet,6.935804045512009,9.348400503194886
42516007,597748783,JardinePlace,8.350153333333333,89.1399
103874467,103874465,PearlStreet,23.310246,32.23504285714286
42516094,42525293,10thAvenue,7.617671621621621,11.175649043478257
103874465,103874467,PearlStreet,13.746395000000001,17.4649
42506832,598033029,RossStreet,42.742375,78.48670000000003
42902886,2089938020,BarnwellAvenue,20.43434488888889,28.70760216494846
42902886,2089938015,AlbionAvenue,10.728766226912931,25.625191666666666
42809649,42862217,85thStreet,7.1938216091954,11.34905102564103
103137183,103137179,RiverRoad,6.048066206896552,4.783508055555554
103874225,103881778,ColesStreet,11.861762857142859,16.7509625
103874223,103881776,JerseyAvenue,14.455651224489793,15.356432121212121
103137179,103137183,RiverRoad,5.3492999999999995,6.7024609375
103137179,103137175,RiverRoad,5.8018807407407404,4.661368055555557
42515995,597748756,MonacoPlace,20.307703333333325,19.9591052
766750285,103143966,US46,34.2147,52.38535
103137175,103137179,RiverRoad,5.212711666666666,6.531323125
2449886967,42754988,BronxRiverAvenue,6.029412105263158,6.8997100000000025
42467180,42468379,HegemanAvenue,8.66017,15.40875
598228721,42488516,SummitStreet,15.145896488095238,14.561669241877253
42466513,42488917,2ndStreet,28.3862786637931,27.375274175824167
42516365,42516366,SchenectadyAvenue,16.967376840148702,17.499421240310085
42516362,42516365,SchenectadyAvenue,14.403400424028273,15.404097372262767
42467172,42468377,NewLotsAvenue,9.829255555555553,4.89205
42467172,42468375,RiverdaleAvenue,9.753295000000003,15.0027
