,start,end,street_name,delay8pm,delay5pm
0,42445950,42445953,MadisonAvenue,11.9594458222476,18.370867808089173
1,42455113,42445953,East60thStreet,47.3963032877033,61.29295213649151
2,42445947,42445950,MadisonAvenue,11.226363797554075,17.993123947706387
3,42440313,42445950,East59thStreet,48.698945850287686,67.38987259121399
4,42445936,42445941,MadisonAvenue,12.29982325089764,21.6290494182652
5,42448338,42445941,East55thStreet,49.68573917817014,65.62398549854792
6,42445930,42436701,MadisonAvenue,13.466460539145114,21.496871179336637
7,42436703,42436701,East53rdStreet,45.697035955539405,64.75465315317723
8,42445928,42440453,MadisonAvenue,12.655881624239216,20.758140622986332
9,42440456,42440453,East51stStreet,47.63285925749025,69.26656527982728
10,42445926,42438881,MadisonAvenue,12.768404612634162,20.104050840974818
11,42438886,42438881,East49thStreet,49.43189574950036,76.20115954082006
12,42445733,42436539,MadisonAvenue,8.451116855835593,10.17308608753462
13,42436541,42436539,East89thStreet,33.34461846515268,39.74501114157257
14,42437918,42421741,AmsterdamAvenue,9.766057824353208,11.406553113654304
15,42421737,42421741,West106thStreet,51.68826953025815,62.70635292361284
16,42424395,42430135,LaightStreet,12.254684723196027,16.446165575256103
17,42440829,42430135,CanalStreet,24.463984297061838,40.24141429425839
18,42439550,42430135,CanalStreet,16.640397090076533,21.277144579479167
19,42430126,42430135,6thAvenue,16.414975537924615,24.34347178670249
20,42439191,42451018,AvenueC,19.311825758816028,27.565993924161464
21,42439191,42438362,East20thStreet,22.72917632243256,27.741803470735892
22,42438463,42438362,StuyvesantLoopNorth,61.0920358409031,65.02867892490484
23,42445256,42438963,MadisonAvenue,17.24119468519931,21.41508060422886
24,42445230,42445227,East71stStreet,31.678235793783504,36.41387429582258
25,42429682,42445227,MadisonAvenue,8.497583209714984,9.834844608960942
26,42445230,42436481,ParkAvenue,13.683853915721436,14.899424499586608
27,42438795,42436481,ParkAvenue,13.457403165767436,19.70854792619249
28,42436484,42436481,East72ndStreet,31.26505342185905,40.43520412599375
29,42436477,42436481,East72ndStreet,28.377275991454454,39.872980276390635
30,42431187,42442574,AmsterdamAvenue,9.215151098037436,11.038204519601335
31,42428814,42442574,West114thStreet,82.03576828597615,86.20307541963008
32,42442575,42442574,AmsterdamAvenue,11.057182409762808,11.862520303808305
33,42431187,42437222,AmsterdamAvenue,9.815551392365457,10.105245996514917
34,42428799,42437222,West112thStreet,71.62469318090653,75.90801275252525
35,42442571,42437222,AmsterdamAvenue,9.143272931501317,10.49410501728608
36,42445183,42446171,MadisonAvenue,9.541418245761953,12.090542530078269
37,42452330,42446171,East123rdStreet,25.11739137741045,29.64363377167632
38,42449906,42429896,3rdAvenue,14.208940090253895,15.938219951334352
39,42429890,42429896,East26thStreet,40.45856100190234,39.60359280244262
40,42441191,42441204,RiversideDrive,10.579724453665282,12.41682502469135
41,42437305,42421806,AmsterdamAvenue,9.597265566618683,10.401492971511814
42,42421809,42421806,West84thStreet,43.51945020218111,42.46859134154687
43,42441299,42441283,RiversideDrive,29.238487348586826,33.94505588198367
44,42441276,42441283,RiversideDrive,29.166399385834566,32.19110696402879
45,42432764,42441283,RiversideDrive,14.250505348394752,16.616887590338536
46,42441299,42437920,RiversideDrive,12.935200857142858,13.722639073668859
47,42431118,42437920,West105thStreet,20.209614218749994,22.95192914338921
48,42441299,42431116,West104thStreet,18.98249464953271,20.858878302852965
49,42431113,42431116,WestEndAvenue,12.540775412353348,14.382399242153607
50,42431118,42431116,WestEndAvenue,10.540715730426161,11.417964078789476
51,42441283,42441913,RiversideDrive,13.486631513083054,11.100934305896816
52,42441283,42441299,RiversideDrive,35.834977161290304,39.943292612282335
53,42441903,42441299,RiversideDrive,9.723759825889477,12.73947835306097
54,42441283,42441276,RiversideDrive,22.854210120663645,28.80482542850145
55,42441926,42441276,CathedralParkway,21.43667472312703,25.906960737273245
56,42431193,42441276,RiversideDrive,18.337434997934302,20.189013541286982
57,42429394,42436431,HudsonStreet,18.981564132251766,17.543463359256545
58,42429390,42436431,GansevoortStreet,38.9149291679005,36.71182392144239
59,42427855,42427859,ShermanAvenue,6.186861442687746,9.980562222222222
60,42432789,42427859,DyckmanStreet,9.50641160530192,11.394513027295284
61,42432795,42427859,DyckmanStreet,15.850956772486773,20.400752698412703
62,42427863,42427859,ShermanAvenue,36.314952631578954,47.08041052631579
63,42427855,42427852,ShermanAvenue,12.933961976744184,15.208596111111113
64,42431180,42427852,ArdenStreet,12.38096015503876,17.840343137254898
65,42427849,42427852,ShermanAvenue,5.3656309706959675,8.00529771144279
66,42444810,42446066,MadisonAvenue,8.579356259978796,10.276947473475069
67,42456578,42446066,East91stStreet,34.15397771117166,38.534514478298995
68,42427242,42459820,GoldStreet,8.119185156037991,10.47210684224458
69,42448483,42459820,GoldStreet,9.95518870185206,14.018956600453595
70,42427242,42427239,SpruceStreet,25.51664513677813,32.684989807848446
71,42444487,42434166,MadisonAvenue,8.291567293261334,10.875661605677577
72,42434168,42434166,East95thStreet,37.94618378934191,43.3110413981644
73,42427212,42427216,FortWashingtonAvenue,33.970602375979155,43.33491236760121
74,42442400,42427216,West190thStreet,14.595409828693793,21.94509400749065
75,42428144,42427216,West190thStreet,20.901913438914022,26.267805061728396
76,42427212,42427206,FortWashingtonAvenue,28.153157234042553,35.801612210526315
77,42427196,42427206,FortWashingtonAvenue,15.923644173599556,25.795237260034913
78,42428374,42428368,Broadway,21.71388185583061,40.00577784065267
79,42446622,42428368,RectorStreet,35.52271642703861,55.55671211604098
80,42437826,42437830,AvenueC,27.893003161782303,25.398508044712628
81,42455480,42437830,East16thStreet,132.3335925,224.9712783333333
82,42440754,42437830,AvenueC,29.56549883174255,23.37542824444904
83,42443817,42446169,MadisonAvenue,9.894985679824561,13.001133092112232
84,42456162,42446169,East121stStreet,22.09911120287253,24.850836132686076
85,42430233,42430235,6thAvenue,15.081851716061285,13.058854962604382
86,42433281,42430235,WaverlyPlace,44.055311934913206,38.736159949403465
87,42430187,42436848,MinettaStreet,11.724626733513308,8.911410013903375
88,42430187,42431517,DowningStreet,45.68761275822272,26.850270207593056
89,42431515,42431517,BedfordStreet,20.790141314070517,22.326947750887186
90,42430187,42430205,6thAvenue,14.392472315864188,14.73200166188934
91,42436848,42430205,MinettaLane,18.603458236083977,9.233390631252156
92,42431773,42430205,CarmineStreet,20.88612825444697,18.070989914444887
93,42443612,42432825,MadisonAvenue,14.5375846207454,23.12734174995193
94,42432834,42432825,East57thStreet,48.88662521548632,67.32386515873222
95,42432818,42432825,East57thStreet,36.96505028174649,59.46354889520562
96,42437108,42432060,AllenStreet,38.05825261818022,38.047472946721314
97,42437108,42429646,RivingtonStreet,18.683487836042648,17.657161395406888
98,42437078,42437082,RivingtonStreet,23.16048798908681,20.273971564673143
99,42458313,42432305,PrinceStreet,19.98646985259633,25.029917115092122
100,42432308,42432305,MottStreet,61.73466976039368,63.57518227818988
101,42429700,42430233,6thAvenue,13.676275555321826,12.512761394987306
102,42433821,42430233,WestWashingtonPlace,52.259282046367844,40.61287448045225
103,42424610,42434871,BeachStreet,26.31426696078433,32.982133678601855
104,42436060,42434871,GreenwichStreet,16.411250806344654,19.524670679113537
105,42438297,42441952,RiversideDrive,7.828796165029477,12.28576509782706
106,42441953,42441952,RiversideDrive,9.996188173374618,11.038916536796537
107,42438297,42428922,West142ndStreet,27.67252929618769,31.29658484240688
108,42434427,42437663,West34thStreet,28.76161664337388,41.9913614958561
109,42444960,42437663,9thAvenue,12.903515178545529,14.605316936064456
110,42435644,42437663,West34thStreet,66.77100845469357,101.03992215675676
111,42428970,42433024,West164thStreet,20.779916624605672,36.012482227722764
112,42433027,42433024,SaintNicholasAvenue,9.039319901207463,12.518150381895325
113,42433020,42433024,SaintNicholasAvenue,5.528002960308709,10.363333411371242
114,42428970,42428973,Broadway,7.050078140501407,12.744953953559424
115,42433027,42428973,West165thStreet,12.830669094827588,18.02981247663552
116,42427133,42428973,West165thStreet,23.840743505311075,38.4788120415648
117,42428966,42433017,West162ndStreet,30.338350892857147,42.41834827027028
