name,lon,lat,x,y
42467266,-73.917419,40.660051,-8228449.443833044,4962327.837896082
42467262,-73.91829399999997,40.659484,-8228546.848387487,4962244.633555073
42467259,-73.919089,40.658966,-8228635.34738267,4962168.620330846
42467258,-73.91996800000003,40.658398,-8228733.197215077,4962085.270601268
42467180,-73.887568,40.661689,-8225126.445713375,4962568.209965138
42467172,-73.88898499999998,40.663916,-8225284.185431828,4962895.0256592855
42467168,-73.889381,40.665453,-8225328.267950184,4963120.5891508935
42467167,-73.88977,40.66699000000001,-8225371.571232103,4963346.157840818
42467164,-73.890165,40.668524,-8225415.542430965,4963571.291437032
42467162,-73.890558,40.67006,-8225459.290990847,4963796.723747112
42467160,-73.8908877,40.6713153,-8225495.99302696,4963980.962745591
42467159,-73.891217,40.672581,-8225532.650535279,4964166.731652313
42467157,-73.891544,40.673851,-8225569.052008769,4964353.135221615
42467155,-73.89186,40.675091,-8225604.2289678585,4964535.138982809
42467150,-73.893019,40.679607,-8225733.248257689,4965198.0135539
42467143,-73.893185,40.680161,-8225751.727293163,4965279.334740181
42467139,-73.893733,40.680854,-8225812.730374115,4965381.060569099
42467138,-73.894312,40.681566,-8225877.184359284,4965485.576519337
42467114,-73.937188,40.660947,-8230650.118846538,4962459.322741014
42467111,-73.939813,40.660785,-8230942.33250987,4962435.549680667
42467104,-73.942611,40.66061,-8231253.804445108,4962409.868970471
42467095,-73.945413,40.660437,-8231565.721658313,4962384.481820328
42467091,-73.946088,40.660396,-8231640.862314598,4962378.465222145
42467089,-73.94664499999998,40.660362,-8231702.867270969,4962373.475850844
42467085,-73.94725600000002,40.660328,-8231770.883479845,4962368.486482087
42467081,-73.95056899999999,40.660117,-8232139.684952841,4962337.523103423
42467079,-73.953461,40.659937,-8232461.620920217,4962311.108924156
42467077,-73.956801,40.65973,-8232833.428019466,4962280.732706115
42467075,-73.96056,40.659496,-8233251.877985357,4962246.394486181
42467069,-73.93140600000002,40.661331,-8230006.469550772,4962515.673929505
42467065,-73.933348,40.66121500000001,-8230222.652001891,4962498.651140451
42467059,-73.93431600000002,40.661148,-8230330.40926898,4962488.819025778
42467033,-73.96949000000002,40.686288,-8234245.961038142,4966178.756906058
42467030,-73.96978299999998,40.687752,-8234278.577648942,4966393.67922354
42467029,-73.97013100000002,40.689506,-8234317.3168317415,4966651.1811680235
42467026,-73.970549,40.691602,-8234363.848378892,4966958.900476675
42467024,-73.97085899999998,40.693172,-8234398.357421036,4967189.402673659
42467023,-73.9713651,40.695822,-8234454.696215329,4967578.479212812
42467016,-73.9718068,40.69789520000001,-8234503.86603441,4967882.879995626
42467004,-73.93777299999998,40.698405,-8230715.24074865,4967957.733616869
